Area Code (FAO);Area;Element Code;Element;Item Code (FAO);Item;Year Code;Year;Unit;Value;Flag Description
101;Indonesia;5312;Area harvested;486;Bananas;1961;1961;ha;126000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1962;1962;ha;130000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1963;1963;ha;135000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1964;1964;ha;140000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1965;1965;ha;145000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1966;1966;ha;160000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1967;1967;ha;160000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1968;1968;ha;170000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1969;1969;ha;200000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1970;1970;ha;201000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1971;1971;ha;214000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1972;1972;ha;321000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1973;1973;ha;366000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1974;1974;ha;316500;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1975;1975;ha;319100;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1976;1976;ha;175847;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1977;1977;ha;156303;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1978;1978;ha;188000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1979;1979;ha;193457;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1980;1980;ha;157815;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1981;1981;ha;176024;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1982;1982;ha;191024;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1983;1983;ha;170610;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1984;1984;ha;187627;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1985;1985;ha;159598;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1986;1986;ha;149000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1987;1987;ha;157000;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1988;1988;ha;169653;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1989;1989;ha;127843;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1990;1990;ha;132454;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1991;1991;ha;135070;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1992;1992;ha;76535;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;1993;1993;ha;70721;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1994;1994;ha;50041;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1995;1995;ha;49044;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1996;1996;ha;49019;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1997;1997;ha;78115;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1998;1998;ha;71537;Official data
101;Indonesia;5312;Area harvested;486;Bananas;1999;1999;ha;70560;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2000;2000;ha;73539;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2001;2001;ha;76923;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2002;2002;ha;74751;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2003;2003;ha;85690;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2004;2004;ha;95434;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2005;2005;ha;101465;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2006;2006;ha;94144;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2007;2007;ha;98143;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2008;2008;ha;107791;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2009;2009;ha;119018;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2010;2010;ha;101276;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2011;2011;ha;104156;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2012;2012;ha;103158;Official data
101;Indonesia;5312;Area harvested;486;Bananas;2013;2013;ha;105237;FAO data based on imputation methodology
101;Indonesia;5312;Area harvested;486;Bananas;2014;2014;ha;114000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;2015;2015;ha;158000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;2016;2016;ha;117000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;2017;2017;ha;119000;FAO estimate
101;Indonesia;5312;Area harvested;486;Bananas;2018;2018;ha;121299;FAO data based on imputation methodology
101;Indonesia;5312;Area harvested;486;Bananas;2019;2019;ha;132214;FAO data based on imputation methodology
101;Indonesia;5510;Production;486;Bananas;1961;1961;tonnes;800000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1962;1962;tonnes;800000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1963;1963;tonnes;850000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1964;1964;tonnes;880000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1965;1965;tonnes;950000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1966;1966;tonnes;980000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1967;1967;tonnes;950000;FAO estimate
101;Indonesia;5510;Production;486;Bananas;1968;1968;tonnes;920000;Official data
101;Indonesia;5510;Production;486;Bananas;1969;1969;tonnes;1103000;Official data
101;Indonesia;5510;Production;486;Bananas;1970;1970;tonnes;1780000;Official data
101;Indonesia;5510;Production;486;Bananas;1971;1971;tonnes;1688000;Official data
101;Indonesia;5510;Production;486;Bananas;1972;1972;tonnes;1766000;Official data
101;Indonesia;5510;Production;486;Bananas;1973;1973;tonnes;2165000;Official data
101;Indonesia;5510;Production;486;Bananas;1974;1974;tonnes;2040300;Official data
101;Indonesia;5510;Production;486;Bananas;1975;1975;tonnes;1897000;Official data
101;Indonesia;5510;Production;486;Bananas;1976;1976;tonnes;1219464;Official data
101;Indonesia;5510;Production;486;Bananas;1977;1977;tonnes;1725830;Official data
101;Indonesia;5510;Production;486;Bananas;1978;1978;tonnes;1378000;Official data
101;Indonesia;5510;Production;486;Bananas;1979;1979;tonnes;1622229;Official data
101;Indonesia;5510;Production;486;Bananas;1980;1980;tonnes;1976826;Official data
101;Indonesia;5510;Production;486;Bananas;1981;1981;tonnes;2058311;Official data
101;Indonesia;5510;Production;486;Bananas;1982;1982;tonnes;2036000;Official data
101;Indonesia;5510;Production;486;Bananas;1983;1983;tonnes;1781469;Official data
101;Indonesia;5510;Production;486;Bananas;1984;1984;tonnes;1991698;Official data
101;Indonesia;5510;Production;486;Bananas;1985;1985;tonnes;1908627;Official data
101;Indonesia;5510;Production;486;Bananas;1986;1986;tonnes;2412000;Official data
101;Indonesia;5510;Production;486;Bananas;1987;1987;tonnes;2192332;Official data
101;Indonesia;5510;Production;486;Bananas;1988;1988;tonnes;2308378;Official data
101;Indonesia;5510;Production;486;Bananas;1989;1989;tonnes;2192054;Official data
101;Indonesia;5510;Production;486;Bananas;1990;1990;tonnes;2410999;Official data
101;Indonesia;5510;Production;486;Bananas;1991;1991;tonnes;2471925;Official data
101;Indonesia;5510;Production;486;Bananas;1992;1992;tonnes;2650841;Official data
101;Indonesia;5510;Production;486;Bananas;1993;1993;tonnes;2643812;Official data
101;Indonesia;5510;Production;486;Bananas;1994;1994;tonnes;3086557;Official data
101;Indonesia;5510;Production;486;Bananas;1995;1995;tonnes;3805430;Official data
101;Indonesia;5510;Production;486;Bananas;1996;1996;tonnes;3023843;Official data
101;Indonesia;5510;Production;486;Bananas;1997;1997;tonnes;3057081;Official data
101;Indonesia;5510;Production;486;Bananas;1998;1998;tonnes;3176749;Official data
101;Indonesia;5510;Production;486;Bananas;1999;1999;tonnes;3375851;Official data
101;Indonesia;5510;Production;486;Bananas;2000;2000;tonnes;3746962;Official data
101;Indonesia;5510;Production;486;Bananas;2001;2001;tonnes;4300422;Official data
101;Indonesia;5510;Production;486;Bananas;2002;2002;tonnes;4384384;Official data
101;Indonesia;5510;Production;486;Bananas;2003;2003;tonnes;4177155;Official data
101;Indonesia;5510;Production;486;Bananas;2004;2004;tonnes;4874439;Official data
101;Indonesia;5510;Production;486;Bananas;2005;2005;tonnes;5177607;Official data
101;Indonesia;5510;Production;486;Bananas;2006;2006;tonnes;5037472;Official data
101;Indonesia;5510;Production;486;Bananas;2007;2007;tonnes;5454226;Official data
101;Indonesia;5510;Production;486;Bananas;2008;2008;tonnes;6004615;Official data
101;Indonesia;5510;Production;486;Bananas;2009;2009;tonnes;6373533;Official data
101;Indonesia;5510;Production;486;Bananas;2010;2010;tonnes;5755073;Official data
101;Indonesia;5510;Production;486;Bananas;2011;2011;tonnes;6132695;Official data
101;Indonesia;5510;Production;486;Bananas;2012;2012;tonnes;6189052;Official data
101;Indonesia;5510;Production;486;Bananas;2013;2013;tonnes;6279290;Official data
101;Indonesia;5510;Production;486;Bananas;2014;2014;tonnes;6862568;Official data
101;Indonesia;5510;Production;486;Bananas;2015;2015;tonnes;9496058;Official data
101;Indonesia;5510;Production;486;Bananas;2016;2016;tonnes;7007125;Official data
101;Indonesia;5510;Production;486;Bananas;2017;2017;tonnes;7162685;Official data
101;Indonesia;5510;Production;486;Bananas;2018;2018;tonnes;7264379;Official data
101;Indonesia;5510;Production;486;Bananas;2019;2019;tonnes;7280659;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1961;1961;ha;1478000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1962;1962;ha;1449000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1963;1963;ha;1598000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1964;1964;ha;1579000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1965;1965;ha;1754000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1966;1966;ha;1513000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1967;1967;ha;1524000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1968;1968;ha;1503410;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1969;1969;ha;1467146;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1970;1970;ha;1398070;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1971;1971;ha;1406093;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1972;1972;ha;1468412;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1973;1973;ha;1428813;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1974;1974;ha;1509440;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1975;1975;ha;1410025;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1976;1976;ha;1353328;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1977;1977;ha;1363552;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1978;1978;ha;1382903;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1979;1979;ha;1439315;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1980;1980;ha;1412481;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1981;1981;ha;1387536;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1982;1982;ha;1323709;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1983;1983;ha;1220808;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1984;1984;ha;1350448;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1985;1985;ha;1291845;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1986;1986;ha;1169886;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1987;1987;ha;1222151;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1988;1988;ha;1302581;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1989;1989;ha;1407880;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1990;1990;ha;1311584;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1991;1991;ha;1319143;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1992;1992;ha;1351324;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1993;1993;ha;1401640;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1994;1994;ha;1356580;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1995;1995;ha;1324260;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1996;1996;ha;1415100;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1997;1997;ha;1243366;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1998;1998;ha;1205350;Official data
101;Indonesia;5312;Area harvested;125;Cassava;1999;1999;ha;1350010;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2000;2000;ha;1284000;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2001;2001;ha;1317900;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2002;2002;ha;1276533;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2003;2003;ha;1244540;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2004;2004;ha;1255805;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2005;2005;ha;1213460;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2006;2006;ha;1227459;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2007;2007;ha;1201481;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2008;2008;ha;1193319;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2009;2009;ha;1175666;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2010;2010;ha;1183047;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2011;2011;ha;1184696;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2012;2012;ha;1129688;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2013;2013;ha;1065752;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2014;2014;ha;1003494;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2015;2015;ha;949916;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2016;2016;ha;822744;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2017;2017;ha;772975;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2018;2018;ha;697384;Official data
101;Indonesia;5312;Area harvested;125;Cassava;2019;2019;ha;640526;FAO data based on imputation methodology
101;Indonesia;5510;Production;125;Cassava;1961;1961;tonnes;11189500;Official data
101;Indonesia;5510;Production;125;Cassava;1962;1962;tonnes;11386000;Official data
101;Indonesia;5510;Production;125;Cassava;1963;1963;tonnes;11678700;Official data
101;Indonesia;5510;Production;125;Cassava;1964;1964;tonnes;12261700;Official data
101;Indonesia;5510;Production;125;Cassava;1965;1965;tonnes;12643400;Official data
101;Indonesia;5510;Production;125;Cassava;1966;1966;tonnes;11232500;Official data
101;Indonesia;5510;Production;125;Cassava;1967;1967;tonnes;10746600;Official data
101;Indonesia;5510;Production;125;Cassava;1968;1968;tonnes;11355630;Official data
101;Indonesia;5510;Production;125;Cassava;1969;1969;tonnes;10916530;Official data
101;Indonesia;5510;Production;125;Cassava;1970;1970;tonnes;10478310;Official data
101;Indonesia;5510;Production;125;Cassava;1971;1971;tonnes;10689690;Official data
101;Indonesia;5510;Production;125;Cassava;1972;1972;tonnes;10384950;Official data
101;Indonesia;5510;Production;125;Cassava;1973;1973;tonnes;11185590;Official data
101;Indonesia;5510;Production;125;Cassava;1974;1974;tonnes;13030670;Official data
101;Indonesia;5510;Production;125;Cassava;1975;1975;tonnes;12545540;Official data
101;Indonesia;5510;Production;125;Cassava;1976;1976;tonnes;12190730;Official data
101;Indonesia;5510;Production;125;Cassava;1977;1977;tonnes;12487660;Official data
101;Indonesia;5510;Production;125;Cassava;1978;1978;tonnes;12902010;Official data
101;Indonesia;5510;Production;125;Cassava;1979;1979;tonnes;13750770;Official data
101;Indonesia;5510;Production;125;Cassava;1980;1980;tonnes;13726340;Official data
101;Indonesia;5510;Production;125;Cassava;1981;1981;tonnes;13300910;Official data
101;Indonesia;5510;Production;125;Cassava;1982;1982;tonnes;12987890;Official data
101;Indonesia;5510;Production;125;Cassava;1983;1983;tonnes;12102730;Official data
101;Indonesia;5510;Production;125;Cassava;1984;1984;tonnes;14167090;Official data
101;Indonesia;5510;Production;125;Cassava;1985;1985;tonnes;14057030;Official data
101;Indonesia;5510;Production;125;Cassava;1986;1986;tonnes;13312119;Official data
101;Indonesia;5510;Production;125;Cassava;1987;1987;tonnes;14356336;Official data
101;Indonesia;5510;Production;125;Cassava;1988;1988;tonnes;15471111;Official data
101;Indonesia;5510;Production;125;Cassava;1989;1989;tonnes;17117248;Official data
101;Indonesia;5510;Production;125;Cassava;1990;1990;tonnes;15829635;Official data
101;Indonesia;5510;Production;125;Cassava;1991;1991;tonnes;15954467;Official data
101;Indonesia;5510;Production;125;Cassava;1992;1992;tonnes;16515860;Official data
101;Indonesia;5510;Production;125;Cassava;1993;1993;tonnes;17285380;Official data
101;Indonesia;5510;Production;125;Cassava;1994;1994;tonnes;15729000;Official data
101;Indonesia;5510;Production;125;Cassava;1995;1995;tonnes;15441481;Official data
101;Indonesia;5510;Production;125;Cassava;1996;1996;tonnes;17002456;Official data
101;Indonesia;5510;Production;125;Cassava;1997;1997;tonnes;15134021;Official data
101;Indonesia;5510;Production;125;Cassava;1998;1998;tonnes;14696203;Official data
101;Indonesia;5510;Production;125;Cassava;1999;1999;tonnes;16438100;Official data
101;Indonesia;5510;Production;125;Cassava;2000;2000;tonnes;16089100;Official data
101;Indonesia;5510;Production;125;Cassava;2001;2001;tonnes;17054600;Official data
101;Indonesia;5510;Production;125;Cassava;2002;2002;tonnes;16912900;Official data
101;Indonesia;5510;Production;125;Cassava;2003;2003;tonnes;18523800;Official data
101;Indonesia;5510;Production;125;Cassava;2004;2004;tonnes;19424708;Official data
101;Indonesia;5510;Production;125;Cassava;2005;2005;tonnes;19321200;Official data
101;Indonesia;5510;Production;125;Cassava;2006;2006;tonnes;19986640;Official data
101;Indonesia;5510;Production;125;Cassava;2007;2007;tonnes;19988058;Official data
101;Indonesia;5510;Production;125;Cassava;2008;2008;tonnes;21593052;Official data
101;Indonesia;5510;Production;125;Cassava;2009;2009;tonnes;22039148;Official data
101;Indonesia;5510;Production;125;Cassava;2010;2010;tonnes;23918118;Official data
101;Indonesia;5510;Production;125;Cassava;2011;2011;tonnes;24044024;Official data
101;Indonesia;5510;Production;125;Cassava;2012;2012;tonnes;24177372;Official data
101;Indonesia;5510;Production;125;Cassava;2013;2013;tonnes;23936920;Official data
101;Indonesia;5510;Production;125;Cassava;2014;2014;tonnes;23436384;Official data
101;Indonesia;5510;Production;125;Cassava;2015;2015;tonnes;21801415;Official data
101;Indonesia;5510;Production;125;Cassava;2016;2016;tonnes;20260675;Official data
101;Indonesia;5510;Production;125;Cassava;2017;2017;tonnes;19053748;Official data
101;Indonesia;5510;Production;125;Cassava;2018;2018;tonnes;16119020;Official data
101;Indonesia;5510;Production;125;Cassava;2019;2019;tonnes;14586693;FAO data based on imputation methodology
101;Indonesia;5312;Area harvested;249;Coconuts;1961;1961;ha;1130000;FAO estimate
101;Indonesia;5312;Area harvested;249;Coconuts;1962;1962;ha;1120000;FAO estimate
101;Indonesia;5312;Area harvested;249;Coconuts;1963;1963;ha;1102000;FAO estimate
101;Indonesia;5312;Area harvested;249;Coconuts;1964;1964;ha;1104000;FAO estimate
101;Indonesia;5312;Area harvested;249;Coconuts;1965;1965;ha;1090000;FAO estimate
101;Indonesia;5312;Area harvested;249;Coconuts;1966;1966;ha;1050000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1967;1967;ha;1044000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1968;1968;ha;1127000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1969;1969;ha;1180000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1970;1970;ha;1258000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1971;1971;ha;1322000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1972;1972;ha;1336000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1973;1973;ha;1406000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1974;1974;ha;1491000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1975;1975;ha;1534000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1976;1976;ha;1610000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1977;1977;ha;1655000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1978;1978;ha;1669000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1979;1979;ha;1748305;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1980;1980;ha;1802995;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1981;1981;ha;1893773;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1982;1982;ha;1958562;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1983;1983;ha;1904000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1984;1984;ha;1976000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1985;1985;ha;1975000;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1986;1986;ha;2112040;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1987;1987;ha;2096762;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1988;1988;ha;2050000;Unofficial figure
101;Indonesia;5312;Area harvested;249;Coconuts;1989;1989;ha;2170005;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1990;1990;ha;2261563;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1991;1991;ha;2267876;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1992;1992;ha;2287245;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1993;1993;ha;2450157;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1994;1994;ha;2590656;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1995;1995;ha;2584754;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1996;1996;ha;2543965;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1997;1997;ha;2547761;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1998;1998;ha;2552736;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;1999;1999;ha;2535910;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;2000;2000;ha;2591530;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;2001;2001;ha;2836995;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;2002;2002;ha;2634725;Official data
101;Indonesia;5312;Area harvested;249;Coconuts;2003;2003;ha;2675059;Official data
